Sample_ID	Strain_name	Trial_Type	Trial_Type_unique	Growth_rate	Association	Sanger_genus	Isolate_source
BTF_124	Phaeosphaeria (str. BTF_124)	Bd plate	Bd plate replicate 1	0.132400568	host	Phaeosphaeria	Subadult
BTF_124	Phaeosphaeria (str. BTF_124)	Bd plate	Bd plate replicate 2	0.126946023	host	Phaeosphaeria	Subadult
BTF_124	Phaeosphaeria (str. BTF_124)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.121960227	host	Phaeosphaeria	Subadult
BTF_124	Phaeosphaeria (str. BTF_124)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.055880682	host	Phaeosphaeria	Subadult
BTF_019	Pseudeurotium (str. BTF_019)	Bd plate	Bd plate replicate 1	0.076122159	habitat	Pseudeurotium	Eggs
BTF_019	Pseudeurotium (str. BTF_019)	Bd plate	Bd plate replicate 2	0.043025568	habitat	Pseudeurotium	Eggs
BTF_019	Pseudeurotium (str. BTF_019)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.061477273	habitat	Pseudeurotium	Eggs
BTF_019	Pseudeurotium (str. BTF_019)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.069005682	habitat	Pseudeurotium	Eggs
BTF_054	Pseudeurotium (str. BTF_054)	Bd plate	Bd plate replicate 1	0.045440341	habitat	Pseudeurotium	Eggs
BTF_054	Pseudeurotium (str. BTF_054)	Bd plate	Bd plate replicate 2	0.056136364	habitat	Pseudeurotium	Eggs
BTF_054	Pseudeurotium (str. BTF_054)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.123210227	habitat	Pseudeurotium	Eggs
BTF_054	Pseudeurotium (str. BTF_054)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.066491477	habitat	Pseudeurotium	Eggs
BTF_103	Pseudeurotium (str. BTF_103)	Bd plate	Bd plate replicate 1	0.028366477	habitat	Pseudeurotium	Tadpole
BTF_103	Pseudeurotium (str. BTF_103)	Bd plate	Bd plate replicate 2	0.104190341	habitat	Pseudeurotium	Tadpole
BTF_103	Pseudeurotium (str. BTF_103)	Control (no Bd) plate	Control (no Bd) plate replicate 1	0.057642045	habitat	Pseudeurotium	Tadpole
BTF_103	Pseudeurotium (str. BTF_103)	Control (no Bd) plate	Control (no Bd) plate replicate 2	0.016292614	habitat	Pseudeurotium	Tadpole
