1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus victoriae
1	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sp.
1	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium tenellum
1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus victoriae
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	Helotiales sp.
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	Helotiales sp.
1	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium tenellum
1	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Davidiella	Davidiella sp.
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ciliciopodium	Ciliciopodium hyalinum
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	Helotiales sp.
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Cadophora	Cadophora luteo-olivacea
1	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Ambomucor	Ambomucor seriatoinflatus
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Patinella	Patinella sp.
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	Phoma sp.
1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ciliciopodium	Ciliciopodium hyalinum
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudocamarosporium	Pseudocamarosporium brabeji
1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Cadophora	Cadophora luteo-olivacea
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	Helotiales sp.
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria eustoma
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	Helotiales sp.
1	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Geomyces	Geomyces sp.
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Cadophora	Cadophora sp.
1	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium canescens
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Cadophora	Cadophora luteo-olivacea
1	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Valsaceae	Valsa	Valsa nivea
1	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus sp.
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ciliciopodium	Ciliciopodium hyalinum
1	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sp.
1	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neostagonospora	Neostagonospora sp.
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	Helotiales sp.
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma koningii
1	Fungi	Ascomycota	Leotiomycetes	Helotiales	Ploettnerulaceae	Cadophora	Cadophora sp.
1	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Acremonium	Acremonium sp.
1	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium sp.
1	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium herbarum
